STATISTIC Label,Year,Single Year of Age,GenderCode,Sex,UNIT,VALUE,Age Group,Previous_Year_Population,Inward or Outward Flow_Immigrants: All origins,Inward or Outward Flow_Net migration,VALUE_Population,Migration_Rate
Population estimates from 1926,1999,10,2,Female,Number,27457,0-14 years old,27291.0,,,,
Population estimates from 1926,1999,11,1,Male,Number,29435,0-14 years old,28662.0,,,,
Population estimates from 1926,1999,11,2,Female,Number,28492,0-14 years old,27457.0,,,,
Population estimates from 1926,1999,12,1,Male,Number,31495,0-14 years old,29435.0,,,,
Population estimates from 1926,1999,12,2,Female,Number,29491,0-14 years old,28492.0,,,,
Population estimates from 1926,1999,13,1,Male,Number,31779,0-14 years old,31495.0,,,,
Population estimates from 1926,1999,13,2,Female,Number,30189,0-14 years old,29491.0,,,,
Population estimates from 1926,1999,14,1,Male,Number,32698,0-14 years old,31779.0,,,,
Population estimates from 1926,1999,14,2,Female,Number,30543,0-14 years old,30189.0,,,,
Population estimates from 1926,1999,15,1,Male,Number,33179,15-24 years old,29481.0,,,,
Population estimates from 1926,1999,15,2,Female,Number,31649,15-24 years old,27978.0,,,,
Population estimates from 1926,1999,16,1,Male,Number,34828,15-24 years old,33179.0,,,,
Population estimates from 1926,1999,16,2,Female,Number,33072,15-24 years old,31649.0,,,,
Population estimates from 1926,1999,17,1,Male,Number,35983,15-24 years old,34828.0,,,,
Population estimates from 1926,1999,17,2,Female,Number,33961,15-24 years old,33072.0,,,,
Population estimates from 1926,1999,18,1,Male,Number,35237,15-24 years old,35983.0,,,,
Population estimates from 1926,1999,18,2,Female,Number,33122,15-24 years old,33961.0,,,,
Population estimates from 1926,1999,19,1,Male,Number,34602,15-24 years old,35237.0,,,,
Population estimates from 1926,1999,19,2,Female,Number,32883,15-24 years old,33122.0,,,,
Population estimates from 1926,1999,20,1,Male,Number,31580,15-24 years old,34602.0,,,,
Population estimates from 1926,1999,20,2,Female,Number,32672,15-24 years old,32883.0,,,,
Population estimates from 1926,1999,21,1,Male,Number,31682,15-24 years old,31580.0,,,,
Population estimates from 1926,1999,21,2,Female,Number,30032,15-24 years old,32672.0,,,,
Population estimates from 1926,1999,22,1,Male,Number,29724,15-24 years old,31682.0,,,,
Population estimates from 1926,1999,22,2,Female,Number,28787,15-24 years old,30032.0,,,,
Population estimates from 1926,1999,23,1,Male,Number,30454,15-24 years old,29724.0,,,,
Population estimates from 1926,1999,23,2,Female,Number,29494,15-24 years old,28787.0,,,,
Population estimates from 1926,1999,24,1,Male,Number,30185,15-24 years old,30454.0,,,,
Population estimates from 1926,1999,24,2,Female,Number,29332,15-24 years old,29494.0,,,,
Population estimates from 1926,1999,25,1,Male,Number,29382,25-44 years old,24065.0,,,,
Population estimates from 1926,1999,25,2,Female,Number,27936,25-44 years old,24132.0,,,,
Population estimates from 1926,1999,26,1,Male,Number,28676,25-44 years old,29382.0,,,,
Population estimates from 1926,1999,26,2,Female,Number,27826,25-44 years old,27936.0,,,,
Population estimates from 1926,1999,27,1,Male,Number,27696,25-44 years old,28676.0,,,,
Population estimates from 1926,1999,27,2,Female,Number,28482,25-44 years old,27826.0,,,,
Population estimates from 1926,1999,28,1,Male,Number,27893,25-44 years old,27696.0,,,,
Population estimates from 1926,1999,28,2,Female,Number,27669,25-44 years old,28482.0,,,,
Population estimates from 1926,1999,29,1,Male,Number,26817,25-44 years old,27893.0,,,,
Population estimates from 1926,1999,29,2,Female,Number,27354,25-44 years old,27669.0,,,,
Population estimates from 1926,1999,30,1,Male,Number,26665,25-44 years old,26817.0,,,,
Population estimates from 1926,1999,30,2,Female,Number,27106,25-44 years old,27354.0,,,,
Population estimates from 1926,1999,31,1,Male,Number,25642,25-44 years old,26665.0,,,,
Population estimates from 1926,1999,31,2,Female,Number,26773,25-44 years old,27106.0,,,,
Population estimates from 1926,1999,32,1,Male,Number,26906,25-44 years old,25642.0,,,,
Population estimates from 1926,1999,32,2,Female,Number,27258,25-44 years old,26773.0,,,,
Population estimates from 1926,1999,33,1,Male,Number,27221,25-44 years old,26906.0,,,,
Population estimates from 1926,1999,33,2,Female,Number,27644,25-44 years old,27258.0,,,,
Population estimates from 1926,1999,34,1,Male,Number,27474,25-44 years old,27221.0,,,,
Population estimates from 1926,1999,34,2,Female,Number,29194,25-44 years old,27644.0,,,,
Population estimates from 1926,1999,35,1,Male,Number,27891,25-44 years old,27474.0,,,,
Population estimates from 1926,1999,35,2,Female,Number,28308,25-44 years old,29194.0,,,,
Population estimates from 1926,1999,36,1,Male,Number,27030,25-44 years old,27891.0,,,,
Population estimates from 1926,1999,36,2,Female,Number,27909,25-44 years old,28308.0,,,,
Population estimates from 1926,1999,37,1,Male,Number,26734,25-44 years old,27030.0,,,,
Population estimates from 1926,1999,37,2,Female,Number,26856,25-44 years old,27909.0,,,,
Population estimates from 1926,1999,38,1,Male,Number,27134,25-44 years old,26734.0,,,,
Population estimates from 1926,1999,38,2,Female,Number,28414,25-44 years old,26856.0,,,,
Population estimates from 1926,1999,39,1,Male,Number,26447,25-44 years old,27134.0,,,,
Population estimates from 1926,1999,39,2,Female,Number,26777,25-44 years old,28414.0,,,,
Population estimates from 1926,1999,40,1,Male,Number,25839,25-44 years old,26447.0,,,,
Population estimates from 1926,1999,40,2,Female,Number,26203,25-44 years old,26777.0,,,,
Population estimates from 1926,1999,41,1,Male,Number,25844,25-44 years old,25839.0,,,,
Population estimates from 1926,1999,41,2,Female,Number,26035,25-44 years old,26203.0,,,,
Population estimates from 1926,1999,42,1,Male,Number,25570,25-44 years old,25844.0,,,,
Population estimates from 1926,1999,42,2,Female,Number,25695,25-44 years old,26035.0,,,,
Population estimates from 1926,1999,43,1,Male,Number,25138,25-44 years old,25570.0,,,,
Population estimates from 1926,1999,43,2,Female,Number,25050,25-44 years old,25695.0,,,,
Population estimates from 1926,1999,44,1,Male,Number,25107,25-44 years old,25138.0,,,,
Population estimates from 1926,1999,44,2,Female,Number,25248,25-44 years old,25050.0,,,,
Population estimates from 1926,1999,45,1,Male,Number,23934,45-64 years old,13504.0,,,,
Population estimates from 1926,1999,45,2,Female,Number,24024,45-64 years old,13602.0,,,,
Population estimates from 1926,1999,46,1,Male,Number,24319,45-64 years old,23934.0,,,,
Population estimates from 1926,1999,46,2,Female,Number,24490,45-64 years old,24024.0,,,,
Population estimates from 1926,1999,47,1,Male,Number,23481,45-64 years old,24319.0,,,,
Population estimates from 1926,1999,47,2,Female,Number,22804,45-64 years old,24490.0,,,,
Population estimates from 1926,1999,48,1,Male,Number,23025,45-64 years old,23481.0,,,,
Population estimates from 1926,1999,48,2,Female,Number,22716,45-64 years old,22804.0,,,,
Population estimates from 1926,1999,49,1,Male,Number,22797,45-64 years old,23025.0,,,,
Population estimates from 1926,1999,49,2,Female,Number,23060,45-64 years old,22716.0,,,,
Population estimates from 1926,1999,50,1,Male,Number,23212,45-64 years old,22797.0,,,,
Population estimates from 1926,1999,50,2,Female,Number,23242,45-64 years old,23060.0,,,,
Population estimates from 1926,1999,51,1,Male,Number,23142,45-64 years old,23212.0,,,,
Population estimates from 1926,1999,51,2,Female,Number,22126,45-64 years old,23242.0,,,,
Population estimates from 1926,1999,52,1,Male,Number,22582,45-64 years old,23142.0,,,,
Population estimates from 1926,1999,52,2,Female,Number,21506,45-64 years old,22126.0,,,,
Population estimates from 1926,1999,53,1,Male,Number,21824,45-64 years old,22582.0,,,,
Population estimates from 1926,1999,53,2,Female,Number,21011,45-64 years old,21506.0,,,,
Population estimates from 1926,1999,54,1,Male,Number,19666,45-64 years old,21824.0,,,,
Population estimates from 1926,1999,54,2,Female,Number,19210,45-64 years old,21011.0,,,,
Population estimates from 1926,1999,55,1,Male,Number,18567,45-64 years old,19666.0,,,,
Population estimates from 1926,1999,55,2,Female,Number,18113,45-64 years old,19210.0,,,,
Population estimates from 1926,1999,56,1,Male,Number,17806,45-64 years old,18567.0,,,,
Population estimates from 1926,1999,56,2,Female,Number,17771,45-64 years old,18113.0,,,,
Population estimates from 1926,1999,57,1,Male,Number,16796,45-64 years old,17806.0,,,,
Population estimates from 1926,1999,57,2,Female,Number,15688,45-64 years old,17771.0,,,,
Population estimates from 1926,1999,58,1,Male,Number,15777,45-64 years old,16796.0,,,,
Population estimates from 1926,1999,58,2,Female,Number,15639,45-64 years old,15688.0,,,,
Population estimates from 1926,1999,59,1,Male,Number,16269,45-64 years old,15777.0,,,,
Population estimates from 1926,1999,59,2,Female,Number,15768,45-64 years old,15639.0,,,,
Population estimates from 1926,1999,60,1,Male,Number,15518,45-64 years old,16269.0,,,,
Population estimates from 1926,1999,60,2,Female,Number,15438,45-64 years old,15768.0,,,,
Population estimates from 1926,1999,61,1,Male,Number,14551,45-64 years old,15518.0,,,,
Population estimates from 1926,1999,61,2,Female,Number,14351,45-64 years old,15438.0,,,,
Population estimates from 1926,1999,62,1,Male,Number,14754,45-64 years old,14551.0,,,,
Population estimates from 1926,1999,62,2,Female,Number,14786,45-64 years old,14351.0,,,,
Population estimates from 1926,1999,63,1,Male,Number,14028,45-64 years old,14754.0,,,,
Population estimates from 1926,1999,63,2,Female,Number,14442,45-64 years old,14786.0,,,,
Population estimates from 1926,1999,64,1,Male,Number,13644,45-64 years old,14028.0,,,,
Population estimates from 1926,1999,64,2,Female,Number,13967,45-64 years old,14442.0,,,,
Population estimates from 1926,1999,65,1,Male,Number,13115,65 and over,55.0,,,,
Population estimates from 1926,1999,65,2,Female,Number,13375,65 and over,183.0,,,,
Population estimates from 1926,1999,66,1,Male,Number,12937,65 and over,13115.0,,,,
Population estimates from 1926,1999,66,2,Female,Number,13244,65 and over,13375.0,,,,
Population estimates from 1926,1999,67,1,Male,Number,12635,65 and over,12937.0,,,,
Population estimates from 1926,1999,67,2,Female,Number,13097,65 and over,13244.0,,,,
Population estimates from 1926,1999,68,1,Male,Number,12358,65 and over,12635.0,,,,
Population estimates from 1926,1999,68,2,Female,Number,13231,65 and over,13097.0,,,,
Population estimates from 1926,1999,69,1,Male,Number,11928,65 and over,12358.0,,,,
Population estimates from 1926,1999,69,2,Female,Number,12914,65 and over,13231.0,,,,
Population estimates from 1926,1999,70,1,Male,Number,11103,65 and over,11928.0,,,,
Population estimates from 1926,1999,70,2,Female,Number,12621,65 and over,12914.0,,,,
Population estimates from 1926,1999,71,1,Male,Number,10027,65 and over,11103.0,,,,
Population estimates from 1926,1999,71,2,Female,Number,12372,65 and over,12621.0,,,,
Population estimates from 1926,1999,72,1,Male,Number,9874,65 and over,10027.0,,,,
Population estimates from 1926,1999,72,2,Female,Number,12453,65 and over,12372.0,,,,
Population estimates from 1926,1999,73,1,Male,Number,9444,65 and over,9874.0,,,,
Population estimates from 1926,1999,73,2,Female,Number,12139,65 and over,12453.0,,,,
Population estimates from 1926,1999,74,1,Male,Number,9276,65 and over,9444.0,,,,
Population estimates from 1926,1999,74,2,Female,Number,11789,65 and over,12139.0,,,,
Population estimates from 1926,1999,75,1,Male,Number,8480,65 and over,9276.0,,,,
Population estimates from 1926,1999,75,2,Female,Number,11236,65 and over,11789.0,,,,
Population estimates from 1926,1999,76,1,Male,Number,7947,65 and over,8480.0,,,,
Population estimates from 1926,1999,76,2,Female,Number,11202,65 and over,11236.0,,,,
Population estimates from 1926,1999,77,1,Male,Number,7325,65 and over,7947.0,,,,
Population estimates from 1926,1999,77,2,Female,Number,10317,65 and over,11202.0,,,,
Population estimates from 1926,1999,78,1,Male,Number,6840,65 and over,7325.0,,,,
Population estimates from 1926,1999,78,2,Female,Number,9968,65 and over,10317.0,,,,
Population estimates from 1926,1999,79,1,Male,Number,6426,65 and over,6840.0,,,,
Population estimates from 1926,1999,79,2,Female,Number,9332,65 and over,9968.0,,,,
Population estimates from 1926,1999,80,1,Male,Number,5276,65 and over,6426.0,,,,
Population estimates from 1926,1999,80,2,Female,Number,8250,65 and over,9332.0,,,,
Population estimates from 1926,1999,81,1,Male,Number,4143,65 and over,5276.0,,,,
Population estimates from 1926,1999,81,2,Female,Number,6785,65 and over,8250.0,,,,
Population estimates from 1926,1999,82,1,Male,Number,4168,65 and over,4143.0,,,,
Population estimates from 1926,1999,82,2,Female,Number,7022,65 and over,6785.0,,,,
Population estimates from 1926,1999,83,1,Male,Number,3608,65 and over,4168.0,,,,
Population estimates from 1926,1999,83,2,Female,Number,6031,65 and over,7022.0,,,,
Population estimates from 1926,1999,84,1,Male,Number,3204,65 and over,3608.0,,,,
Population estimates from 1926,1999,84,2,Female,Number,6111,65 and over,6031.0,,,,
Population estimates from 1926,1999,85,1,Male,Number,2572,65 and over,3204.0,,,,
Population estimates from 1926,1999,85,2,Female,Number,5163,65 and over,6111.0,,,,
Population estimates from 1926,1999,86,1,Male,Number,2199,65 and over,2572.0,,,,
Population estimates from 1926,1999,86,2,Female,Number,4540,65 and over,5163.0,,,,
Population estimates from 1926,1999,87,1,Male,Number,1963,65 and over,2199.0,,,,
Population estimates from 1926,1999,87,2,Female,Number,3788,65 and over,4540.0,,,,
Population estimates from 1926,1999,88,1,Male,Number,1379,65 and over,1963.0,,,,
Population estimates from 1926,1999,88,2,Female,Number,3189,65 and over,3788.0,,,,
Population estimates from 1926,1999,89,1,Male,Number,1209,65 and over,1379.0,,,,
Population estimates from 1926,1999,89,2,Female,Number,2620,65 and over,3189.0,,,,
Population estimates from 1926,1999,90,1,Male,Number,677,65 and over,1209.0,,,,
Population estimates from 1926,1999,90,2,Female,Number,1986,65 and over,2620.0,,,,
Population estimates from 1926,1999,91,1,Male,Number,525,65 and over,677.0,,,,
Population estimates from 1926,1999,91,2,Female,Number,1378,65 and over,1986.0,,,,
Population estimates from 1926,1999,92,1,Male,Number,263,65 and over,525.0,,,,
Population estimates from 1926,1999,92,2,Female,Number,1136,65 and over,1378.0,,,,
Population estimates from 1926,1999,93,1,Male,Number,275,65 and over,263.0,,,,
Population estimates from 1926,1999,93,2,Female,Number,865,65 and over,1136.0,,,,
Population estimates from 1926,1999,94,1,Male,Number,237,65 and over,275.0,,,,
Population estimates from 1926,1999,94,2,Female,Number,749,65 and over,865.0,,,,
Population estimates from 1926,1999,95,1,Male,Number,94,65 and over,237.0,,,,
Population estimates from 1926,1999,95,2,Female,Number,484,65 and over,749.0,,,,
Population estimates from 1926,1999,96,1,Male,Number,52,65 and over,94.0,,,,
Population estimates from 1926,1999,96,2,Female,Number,388,65 and over,484.0,,,,
Population estimates from 1926,1999,97,1,Male,Number,18,65 and over,52.0,,,,
Population estimates from 1926,1999,97,2,Female,Number,186,65 and over,388.0,,,,
Population estimates from 1926,1999,98,1,Male,Number,27,65 and over,18.0,,,,
Population estimates from 1926,1999,98,2,Female,Number,171,65 and over,186.0,,,,
Population estimates from 1926,1999,99,1,Male,Number,45,65 and over,27.0,,,,
Population estimates from 1926,1999,99,2,Female,Number,135,65 and over,171.0,,,,
Population estimates from 1926,2000,0,1,Male,Number,27633,0-14 years old,32698.0,,,,
Population estimates from 1926,2000,0,2,Female,Number,25998,0-14 years old,30543.0,,,,
Population estimates from 1926,2000,1,1,Male,Number,27801,0-14 years old,27633.0,,,,
Population estimates from 1926,2000,1,2,Female,Number,26191,0-14 years old,25998.0,,,,
Population estimates from 1926,2000,2,1,Male,Number,27886,0-14 years old,27801.0,,,,
Population estimates from 1926,2000,2,2,Female,Number,26503,0-14 years old,26191.0,,,,
Population estimates from 1926,2000,3,1,Male,Number,27347,0-14 years old,27886.0,,,,
Population estimates from 1926,2000,3,2,Female,Number,25558,0-14 years old,26503.0,,,,
Population estimates from 1926,2000,4,1,Male,Number,26546,0-14 years old,27347.0,,,,
Population estimates from 1926,2000,4,2,Female,Number,24697,0-14 years old,25558.0,,,,
Population estimates from 1926,2000,5,1,Male,Number,26346,0-14 years old,26546.0,,,,
Population estimates from 1926,2000,5,2,Female,Number,24839,0-14 years old,24697.0,,,,
Population estimates from 1926,2000,6,1,Male,Number,26390,0-14 years old,26346.0,,,,
Population estimates from 1926,2000,6,2,Female,Number,25004,0-14 years old,24839.0,,,,
Population estimates from 1926,2000,7,1,Male,Number,27164,0-14 years old,26390.0,,,,
Population estimates from 1926,2000,7,2,Female,Number,25876,0-14 years old,25004.0,,,,
Population estimates from 1926,2000,8,1,Male,Number,27423,0-14 years old,27164.0,,,,
Population estimates from 1926,2000,8,2,Female,Number,26930,0-14 years old,25876.0,,,,
Population estimates from 1926,2000,9,1,Male,Number,29307,0-14 years old,27423.0,,,,
Population estimates from 1926,2000,9,2,Female,Number,27423,0-14 years old,26930.0,,,,
Population estimates from 1926,2000,10,1,Male,Number,29003,0-14 years old,29307.0,,,,
Population estimates from 1926,2000,10,2,Female,Number,27574,0-14 years old,27423.0,,,,
Population estimates from 1926,2000,11,1,Male,Number,28870,0-14 years old,29003.0,,,,
Population estimates from 1926,2000,11,2,Female,Number,27581,0-14 years old,27574.0,,,,
Population estimates from 1926,2000,12,1,Male,Number,29377,0-14 years old,28870.0,,,,
Population estimates from 1926,2000,12,2,Female,Number,28496,0-14 years old,27581.0,,,,
Population estimates from 1926,2000,13,1,Male,Number,31619,0-14 years old,29377.0,,,,
Population estimates from 1926,2000,13,2,Female,Number,29607,0-14 years old,28496.0,,,,
Population estimates from 1926,2000,14,1,Male,Number,32438,0-14 years old,31619.0,,,,
Population estimates from 1926,2000,14,2,Female,Number,30574,0-14 years old,29607.0,,,,
Population estimates from 1926,2000,15,1,Male,Number,32152,15-24 years old,30185.0,,,,
Population estimates from 1926,2000,15,2,Female,Number,30298,15-24 years old,29332.0,,,,
Population estimates from 1926,2000,16,1,Male,Number,32899,15-24 years old,32152.0,,,,
Population estimates from 1926,2000,16,2,Female,Number,31669,15-24 years old,30298.0,,,,
Population estimates from 1926,2000,17,1,Male,Number,35283,15-24 years old,32899.0,,,,
Population estimates from 1926,2000,17,2,Female,Number,33193,15-24 years old,31669.0,,,,
Population estimates from 1926,2000,18,1,Male,Number,34440,15-24 years old,35283.0,,,,
Population estimates from 1926,2000,18,2,Female,Number,32856,15-24 years old,33193.0,,,,
Population estimates from 1926,2000,19,1,Male,Number,34089,15-24 years old,34440.0,,,,
Population estimates from 1926,2000,19,2,Female,Number,32493,15-24 years old,32856.0,,,,
Population estimates from 1926,2000,20,1,Male,Number,34384,15-24 years old,34089.0,,,,
Population estimates from 1926,2000,20,2,Female,Number,33521,15-24 years old,32493.0,,,,
Population estimates from 1926,2000,21,1,Male,Number,31800,15-24 years old,34384.0,,,,
Population estimates from 1926,2000,21,2,Female,Number,32595,15-24 years old,33521.0,,,,
Population estimates from 1926,2000,22,1,Male,Number,30503,15-24 years old,31800.0,,,,
Population estimates from 1926,2000,22,2,Female,Number,29608,15-24 years old,32595.0,,,,
Population estimates from 1926,2000,23,1,Male,Number,30376,15-24 years old,30503.0,,,,
Population estimates from 1926,2000,23,2,Female,Number,28034,15-24 years old,29608.0,,,,
Population estimates from 1926,2000,24,1,Male,Number,30338,15-24 years old,30376.0,,,,
Population estimates from 1926,2000,24,2,Female,Number,30701,15-24 years old,28034.0,,,,
Population estimates from 1926,2000,25,1,Male,Number,30848,25-44 years old,25107.0,,,,
Population estimates from 1926,2000,25,2,Female,Number,29138,25-44 years old,25248.0,,,,
Population estimates from 1926,2000,26,1,Male,Number,28266,25-44 years old,30848.0,,,,
Population estimates from 1926,2000,26,2,Female,Number,27499,25-44 years old,29138.0,,,,
Population estimates from 1926,2000,27,1,Male,Number,28854,25-44 years old,28266.0,,,,
Population estimates from 1926,2000,27,2,Female,Number,29144,25-44 years old,27499.0,,,,
Population estimates from 1926,2000,28,1,Male,Number,28805,25-44 years old,28854.0,,,,
Population estimates from 1926,2000,28,2,Female,Number,29048,25-44 years old,29144.0,,,,
Population estimates from 1926,2000,29,1,Male,Number,29258,25-44 years old,28805.0,,,,
Population estimates from 1926,2000,29,2,Female,Number,28507,25-44 years old,29048.0,,,,
Population estimates from 1926,2000,30,1,Male,Number,27197,25-44 years old,29258.0,,,,
Population estimates from 1926,2000,30,2,Female,Number,28137,25-44 years old,28507.0,,,,
Population estimates from 1926,2000,31,1,Male,Number,27567,25-44 years old,27197.0,,,,
Population estimates from 1926,2000,31,2,Female,Number,28110,25-44 years old,28137.0,,,,
Population estimates from 1926,2000,32,1,Male,Number,27128,25-44 years old,27567.0,,,,
Population estimates from 1926,2000,32,2,Female,Number,27648,25-44 years old,28110.0,,,,
Population estimates from 1926,2000,33,1,Male,Number,27498,25-44 years old,27128.0,,,,
Population estimates from 1926,2000,33,2,Female,Number,27064,25-44 years old,27648.0,,,,
Population estimates from 1926,2000,34,1,Male,Number,28107,25-44 years old,27498.0,,,,
Population estimates from 1926,2000,34,2,Female,Number,29076,25-44 years old,27064.0,,,,
Population estimates from 1926,2000,35,1,Male,Number,27965,25-44 years old,28107.0,,,,
Population estimates from 1926,2000,35,2,Female,Number,29861,25-44 years old,29076.0,,,,
Population estimates from 1926,2000,36,1,Male,Number,28071,25-44 years old,27965.0,,,,
Population estimates from 1926,2000,36,2,Female,Number,27957,25-44 years old,29861.0,,,,
Population estimates from 1926,2000,37,1,Male,Number,27524,25-44 years old,28071.0,,,,
Population estimates from 1926,2000,37,2,Female,Number,28647,25-44 years old,27957.0,,,,
Population estimates from 1926,2000,38,1,Male,Number,26606,25-44 years old,27524.0,,,,
Population estimates from 1926,2000,38,2,Female,Number,27474,25-44 years old,28647.0,,,,
Population estimates from 1926,2000,39,1,Male,Number,28025,25-44 years old,26606.0,,,,
Population estimates from 1926,2000,39,2,Female,Number,28075,25-44 years old,27474.0,,,,
Population estimates from 1926,2000,40,1,Male,Number,26699,25-44 years old,28025.0,,,,
Population estimates from 1926,2000,40,2,Female,Number,27609,25-44 years old,28075.0,,,,
Population estimates from 1926,2000,41,1,Male,Number,25867,25-44 years old,26699.0,,,,
Population estimates from 1926,2000,41,2,Female,Number,25949,25-44 years old,27609.0,,,,
Population estimates from 1926,2000,42,1,Male,Number,25701,25-44 years old,25867.0,,,,
Population estimates from 1926,2000,42,2,Female,Number,26248,25-44 years old,25949.0,,,,
Population estimates from 1926,2000,43,1,Male,Number,26061,25-44 years old,25701.0,,,,
Population estimates from 1926,2000,43,2,Female,Number,25950,25-44 years old,26248.0,,,,
Population estimates from 1926,2000,44,1,Male,Number,25370,25-44 years old,26061.0,,,,
Population estimates from 1926,2000,44,2,Female,Number,25067,25-44 years old,25950.0,,,,
Population estimates from 1926,2000,45,1,Male,Number,24853,45-64 years old,13644.0,,,,
Population estimates from 1926,2000,45,2,Female,Number,24989,45-64 years old,13967.0,,,,
Population estimates from 1926,2000,46,1,Male,Number,23662,45-64 years old,24853.0,,,,
Population estimates from 1926,2000,46,2,Female,Number,24214,45-64 years old,24989.0,,,,
Population estimates from 1926,2000,47,1,Male,Number,24862,45-64 years old,23662.0,,,,
Population estimates from 1926,2000,47,2,Female,Number,24426,45-64 years old,24214.0,,,,
Population estimates from 1926,2000,48,1,Male,Number,23572,45-64 years old,24862.0,,,,
Population estimates from 1926,2000,48,2,Female,Number,22723,45-64 years old,24426.0,,,,
Population estimates from 1926,2000,49,1,Male,Number,22887,45-64 years old,23572.0,,,,
Population estimates from 1926,2000,49,2,Female,Number,22908,45-64 years old,22723.0,,,,
Population estimates from 1926,2000,50,1,Male,Number,22978,45-64 years old,22887.0,,,,
Population estimates from 1926,2000,50,2,Female,Number,23333,45-64 years old,22908.0,,,,
Population estimates from 1926,2000,51,1,Male,Number,23463,45-64 years old,22978.0,,,,
Population estimates from 1926,2000,51,2,Female,Number,22864,45-64 years old,23333.0,,,,
Population estimates from 1926,2000,52,1,Male,Number,22944,45-64 years old,23463.0,,,,
Population estimates from 1926,2000,52,2,Female,Number,22313,45-64 years old,22864.0,,,,
Population estimates from 1926,2000,53,1,Male,Number,22744,45-64 years old,22944.0,,,,
Population estimates from 1926,2000,53,2,Female,Number,21187,45-64 years old,22313.0,,,,
Population estimates from 1926,2000,54,1,Male,Number,21980,45-64 years old,22744.0,,,,
Population estimates from 1926,2000,54,2,Female,Number,21148,45-64 years old,21187.0,,,,
Population estimates from 1926,2000,55,1,Male,Number,19095,45-64 years old,21980.0,,,,
Population estimates from 1926,2000,55,2,Female,Number,19235,45-64 years old,21148.0,,,,
Population estimates from 1926,2000,56,1,Male,Number,18546,45-64 years old,19095.0,,,,
Population estimates from 1926,2000,56,2,Female,Number,17819,45-64 years old,19235.0,,,,
Population estimates from 1926,2000,57,1,Male,Number,18078,45-64 years old,18546.0,,,,
Population estimates from 1926,2000,57,2,Female,Number,17813,45-64 years old,17819.0,,,,
Population estimates from 1926,2000,58,1,Male,Number,16710,45-64 years old,18078.0,,,,
Population estimates from 1926,2000,58,2,Female,Number,15867,45-64 years old,17813.0,,,,
Population estimates from 1926,2000,59,1,Male,Number,15742,45-64 years old,16710.0,,,,
Population estimates from 1926,2000,59,2,Female,Number,15347,45-64 years old,15867.0,,,,
Population estimates from 1926,2000,60,1,Male,Number,16038,45-64 years old,15742.0,,,,
Population estimates from 1926,2000,60,2,Female,Number,15942,45-64 years old,15347.0,,,,
Population estimates from 1926,2000,61,1,Male,Number,15821,45-64 years old,16038.0,,,,
Population estimates from 1926,2000,61,2,Female,Number,15300,45-64 years old,15942.0,,,,
Population estimates from 1926,2000,62,1,Male,Number,14344,45-64 years old,15821.0,,,,
Population estimates from 1926,2000,62,2,Female,Number,14329,45-64 years old,15300.0,,,,
Population estimates from 1926,2000,63,1,Male,Number,14413,45-64 years old,14344.0,,,,
Population estimates from 1926,2000,63,2,Female,Number,14863,45-64 years old,14329.0,,,,
Population estimates from 1926,2000,64,1,Male,Number,14161,45-64 years old,14413.0,,,,
Population estimates from 1926,2000,64,2,Female,Number,14479,45-64 years old,14863.0,,,,
Population estimates from 1926,2000,65,1,Male,Number,13157,65 and over,45.0,,,,
Population estimates from 1926,2000,65,2,Female,Number,13662,65 and over,135.0,,,,
Population estimates from 1926,2000,66,1,Male,Number,13044,65 and over,13157.0,,,,
Population estimates from 1926,2000,66,2,Female,Number,13168,65 and over,13662.0,,,,
Population estimates from 1926,2000,67,1,Male,Number,12819,65 and over,13044.0,,,,
Population estimates from 1926,2000,67,2,Female,Number,13350,65 and over,13168.0,,,,
Population estimates from 1926,2000,68,1,Male,Number,12129,65 and over,12819.0,,,,
Population estimates from 1926,2000,68,2,Female,Number,12964,65 and over,13350.0,,,,
Population estimates from 1926,2000,69,1,Male,Number,12110,65 and over,12129.0,,,,
Population estimates from 1926,2000,69,2,Female,Number,12887,65 and over,12964.0,,,,
Population estimates from 1926,2000,70,1,Male,Number,11450,65 and over,12110.0,,,,
Population estimates from 1926,2000,70,2,Female,Number,12727,65 and over,12887.0,,,,
Population estimates from 1926,2000,71,1,Male,Number,10638,65 and over,11450.0,,,,
Population estimates from 1926,2000,71,2,Female,Number,12281,65 and over,12727.0,,,,
Population estimates from 1926,2000,72,1,Male,Number,9518,65 and over,10638.0,,,,
Population estimates from 1926,2000,72,2,Female,Number,12157,65 and over,12281.0,,,,
Population estimates from 1926,2000,73,1,Male,Number,9452,65 and over,9518.0,,,,
Population estimates from 1926,2000,73,2,Female,Number,12105,65 and over,12157.0,,,,
Population estimates from 1926,2000,74,1,Male,Number,9210,65 and over,9452.0,,,,
Population estimates from 1926,2000,74,2,Female,Number,11780,65 and over,12105.0,,,,
Population estimates from 1926,2000,75,1,Male,Number,8470,65 and over,9210.0,,,,
Population estimates from 1926,2000,75,2,Female,Number,11302,65 and over,11780.0,,,,
Population estimates from 1926,2000,76,1,Male,Number,7904,65 and over,8470.0,,,,
Population estimates from 1926,2000,76,2,Female,Number,10816,65 and over,11302.0,,,,
Population estimates from 1926,2000,77,1,Male,Number,7432,65 and over,7904.0,,,,
Population estimates from 1926,2000,77,2,Female,Number,10887,65 and over,10816.0,,,,
Population estimates from 1926,2000,78,1,Male,Number,6644,65 and over,7432.0,,,,
