STATISTIC Label,Year,Single Year of Age,C02199V02655,Sex,UNIT,VALUE,Age Group
Population estimates from 1926,2003,15,1,Male,Number,30445,15-24 years old
Population estimates from 1926,2003,15,2,Female,Number,29117,15-24 years old
Population estimates from 1926,2003,16,1,Male,Number,31341,15-24 years old
Population estimates from 1926,2003,16,2,Female,Number,29491,15-24 years old
Population estimates from 1926,2003,17,1,Male,Number,31413,15-24 years old
Population estimates from 1926,2003,17,2,Female,Number,30104,15-24 years old
Population estimates from 1926,2003,18,1,Male,Number,31341,15-24 years old
Population estimates from 1926,2003,18,2,Female,Number,29898,15-24 years old
Population estimates from 1926,2003,19,1,Male,Number,31333,15-24 years old
Population estimates from 1926,2003,19,2,Female,Number,30218,15-24 years old
Population estimates from 1926,2003,20,1,Male,Number,32169,15-24 years old
Population estimates from 1926,2003,20,2,Female,Number,32034,15-24 years old
Population estimates from 1926,2003,21,1,Male,Number,33623,15-24 years old
Population estimates from 1926,2003,21,2,Female,Number,33740,15-24 years old
Population estimates from 1926,2003,22,1,Male,Number,34688,15-24 years old
Population estimates from 1926,2003,22,2,Female,Number,34687,15-24 years old
Population estimates from 1926,2003,23,1,Male,Number,33849,15-24 years old
Population estimates from 1926,2003,23,2,Female,Number,33684,15-24 years old
Population estimates from 1926,2003,24,1,Male,Number,32676,15-24 years old
Population estimates from 1926,2003,24,2,Female,Number,32829,15-24 years old
Population estimates from 1926,2003,25,1,Male,Number,31791,25-44 years old
Population estimates from 1926,2003,25,2,Female,Number,32126,25-44 years old
Population estimates from 1926,2003,26,1,Male,Number,32027,25-44 years old
Population estimates from 1926,2003,26,2,Female,Number,32054,25-44 years old
Population estimates from 1926,2003,27,1,Male,Number,31238,25-44 years old
Population estimates from 1926,2003,27,2,Female,Number,31561,25-44 years old
Population estimates from 1926,2003,28,1,Male,Number,31974,25-44 years old
Population estimates from 1926,2003,28,2,Female,Number,31272,25-44 years old
Population estimates from 1926,2003,29,1,Male,Number,31555,25-44 years old
Population estimates from 1926,2003,29,2,Female,Number,31801,25-44 years old
Population estimates from 1926,2003,30,1,Male,Number,32911,25-44 years old
Population estimates from 1926,2003,30,2,Female,Number,32909,25-44 years old
Population estimates from 1926,2003,31,1,Male,Number,31961,25-44 years old
Population estimates from 1926,2003,31,2,Female,Number,32627,25-44 years old
Population estimates from 1926,2003,32,1,Male,Number,31605,25-44 years old
Population estimates from 1926,2003,32,2,Female,Number,31689,25-44 years old
Population estimates from 1926,2003,33,1,Male,Number,31239,25-44 years old
Population estimates from 1926,2003,33,2,Female,Number,31145,25-44 years old
Population estimates from 1926,2003,34,1,Male,Number,30469,25-44 years old
Population estimates from 1926,2003,34,2,Female,Number,29504,25-44 years old
Population estimates from 1926,2003,35,1,Male,Number,29959,25-44 years old
Population estimates from 1926,2003,35,2,Female,Number,30017,25-44 years old
Population estimates from 1926,2003,36,1,Male,Number,29572,25-44 years old
Population estimates from 1926,2003,36,2,Female,Number,29683,25-44 years old
Population estimates from 1926,2003,37,1,Male,Number,29262,25-44 years old
Population estimates from 1926,2003,37,2,Female,Number,29562,25-44 years old
Population estimates from 1926,2003,38,1,Male,Number,29477,25-44 years old
Population estimates from 1926,2003,38,2,Female,Number,30127,25-44 years old
Population estimates from 1926,2003,39,1,Male,Number,29179,25-44 years old
Population estimates from 1926,2003,39,2,Female,Number,29583,25-44 years old
Population estimates from 1926,2003,40,1,Male,Number,28737,25-44 years old
Population estimates from 1926,2003,40,2,Female,Number,29118,25-44 years old
Population estimates from 1926,2003,41,1,Male,Number,28075,25-44 years old
Population estimates from 1926,2003,41,2,Female,Number,28268,25-44 years old
Population estimates from 1926,2003,42,1,Male,Number,28216,25-44 years old
Population estimates from 1926,2003,42,2,Female,Number,28645,25-44 years old
Population estimates from 1926,2003,43,1,Male,Number,27333,25-44 years old
Population estimates from 1926,2003,43,2,Female,Number,27716,25-44 years old
Population estimates from 1926,2003,44,1,Male,Number,26543,25-44 years old
Population estimates from 1926,2003,44,2,Female,Number,26523,25-44 years old
Population estimates from 1926,2003,45,1,Male,Number,26395,45-64 years old
Population estimates from 1926,2003,45,2,Female,Number,26639,45-64 years old
Population estimates from 1926,2003,46,1,Male,Number,26115,45-64 years old
Population estimates from 1926,2003,46,2,Female,Number,25966,45-64 years old
Population estimates from 1926,2003,47,1,Male,Number,24828,45-64 years old
Population estimates from 1926,2003,47,2,Female,Number,24928,45-64 years old
Population estimates from 1926,2003,48,1,Male,Number,25224,45-64 years old
Population estimates from 1926,2003,48,2,Female,Number,25071,45-64 years old
Population estimates from 1926,2003,49,1,Male,Number,24295,45-64 years old
Population estimates from 1926,2003,49,2,Female,Number,24189,45-64 years old
Population estimates from 1926,2003,50,1,Male,Number,25191,45-64 years old
Population estimates from 1926,2003,50,2,Female,Number,24643,45-64 years old
Population estimates from 1926,2003,51,1,Male,Number,23659,45-64 years old
Population estimates from 1926,2003,51,2,Female,Number,23284,45-64 years old
Population estimates from 1926,2003,52,1,Male,Number,23504,45-64 years old
Population estimates from 1926,2003,52,2,Female,Number,22637,45-64 years old
Population estimates from 1926,2003,53,1,Male,Number,23103,45-64 years old
Population estimates from 1926,2003,53,2,Female,Number,23227,45-64 years old
Population estimates from 1926,2003,54,1,Male,Number,23031,45-64 years old
Population estimates from 1926,2003,54,2,Female,Number,22789,45-64 years old
Population estimates from 1926,2003,55,1,Male,Number,23128,45-64 years old
Population estimates from 1926,2003,55,2,Female,Number,22318,45-64 years old
Population estimates from 1926,2003,56,1,Male,Number,22337,45-64 years old
Population estimates from 1926,2003,56,2,Female,Number,21422,45-64 years old
Population estimates from 1926,2003,57,1,Male,Number,21311,45-64 years old
Population estimates from 1926,2003,57,2,Female,Number,20630,45-64 years old
Population estimates from 1926,2003,58,1,Male,Number,19414,45-64 years old
Population estimates from 1926,2003,58,2,Female,Number,19056,45-64 years old
Population estimates from 1926,2003,59,1,Male,Number,18757,45-64 years old
Population estimates from 1926,2003,59,2,Female,Number,18180,45-64 years old
Population estimates from 1926,2003,60,1,Male,Number,17768,45-64 years old
Population estimates from 1926,2003,60,2,Female,Number,17687,45-64 years old
Population estimates from 1926,2003,61,1,Male,Number,16557,45-64 years old
Population estimates from 1926,2003,61,2,Female,Number,15799,45-64 years old
Population estimates from 1926,2003,62,1,Male,Number,15755,45-64 years old
Population estimates from 1926,2003,62,2,Female,Number,15442,45-64 years old
Population estimates from 1926,2003,63,1,Male,Number,15692,45-64 years old
Population estimates from 1926,2003,63,2,Female,Number,15628,45-64 years old
Population estimates from 1926,2003,64,1,Male,Number,14884,45-64 years old
Population estimates from 1926,2003,64,2,Female,Number,15054,45-64 years old
Population estimates from 1926,2003,65,1,Male,Number,14000,65 and over
Population estimates from 1926,2003,65,2,Female,Number,14280,65 and over
Population estimates from 1926,2003,66,1,Male,Number,13801,65 and over
Population estimates from 1926,2003,66,2,Female,Number,14359,65 and over
Population estimates from 1926,2003,67,1,Male,Number,13123,65 and over
Population estimates from 1926,2003,67,2,Female,Number,13934,65 and over
Population estimates from 1926,2003,68,1,Male,Number,12764,65 and over
Population estimates from 1926,2003,68,2,Female,Number,13509,65 and over
Population estimates from 1926,2003,69,1,Male,Number,12276,65 and over
Population estimates from 1926,2003,69,2,Female,Number,12927,65 and over
Population estimates from 1926,2003,70,1,Male,Number,11857,65 and over
Population estimates from 1926,2003,70,2,Female,Number,12745,65 and over
Population estimates from 1926,2003,71,1,Male,Number,11115,65 and over
Population estimates from 1926,2003,71,2,Female,Number,12317,65 and over
Population estimates from 1926,2003,72,1,Male,Number,10792,65 and over
Population estimates from 1926,2003,72,2,Female,Number,12253,65 and over
Population estimates from 1926,2003,73,1,Male,Number,10170,65 and over
Population estimates from 1926,2003,73,2,Female,Number,11894,65 and over
Population estimates from 1926,2003,74,1,Male,Number,9235,65 and over
Population estimates from 1926,2003,74,2,Female,Number,11434,65 and over
Population estimates from 1926,2003,75,1,Male,Number,8541,65 and over
Population estimates from 1926,2003,75,2,Female,Number,11129,65 and over
Population estimates from 1926,2003,76,1,Male,Number,8021,65 and over
Population estimates from 1926,2003,76,2,Female,Number,10870,65 and over
Population estimates from 1926,2003,77,1,Male,Number,7437,65 and over
Population estimates from 1926,2003,77,2,Female,Number,10562,65 and over
Population estimates from 1926,2003,78,1,Male,Number,7007,65 and over
Population estimates from 1926,2003,78,2,Female,Number,10191,65 and over
Population estimates from 1926,2003,79,1,Male,Number,6254,65 and over
Population estimates from 1926,2003,79,2,Female,Number,9499,65 and over
Population estimates from 1926,2003,80,1,Male,Number,6021,65 and over
Population estimates from 1926,2003,80,2,Female,Number,9200,65 and over
Population estimates from 1926,2003,81,1,Male,Number,5092,65 and over
Population estimates from 1926,2003,81,2,Female,Number,8172,65 and over
Population estimates from 1926,2003,82,1,Male,Number,4725,65 and over
Population estimates from 1926,2003,82,2,Female,Number,7744,65 and over
Population estimates from 1926,2003,83,1,Male,Number,4147,65 and over
Population estimates from 1926,2003,83,2,Female,Number,7133,65 and over
Population estimates from 1926,2003,84,1,Male,Number,3377,65 and over
Population estimates from 1926,2003,84,2,Female,Number,6078,65 and over
Population estimates from 1926,2003,85,1,Male,Number,2555,65 and over
Population estimates from 1926,2003,85,2,Female,Number,4857,65 and over
Population estimates from 1926,2003,86,1,Male,Number,2176,65 and over
Population estimates from 1926,2003,86,2,Female,Number,4570,65 and over
Population estimates from 1926,2003,87,1,Male,Number,1853,65 and over
Population estimates from 1926,2003,87,2,Female,Number,3892,65 and over
Population estimates from 1926,2003,88,1,Male,Number,1559,65 and over
Population estimates from 1926,2003,88,2,Female,Number,3602,65 and over
Population estimates from 1926,2003,89,1,Male,Number,1177,65 and over
Population estimates from 1926,2003,89,2,Female,Number,2984,65 and over
Population estimates from 1926,2003,90,1,Male,Number,1109,65 and over
Population estimates from 1926,2003,90,2,Female,Number,2437,65 and over
Population estimates from 1926,2003,91,1,Male,Number,731,65 and over
Population estimates from 1926,2003,91,2,Female,Number,1968,65 and over
Population estimates from 1926,2003,92,1,Male,Number,487,65 and over
Population estimates from 1926,2003,92,2,Female,Number,1519,65 and over
Population estimates from 1926,2003,93,1,Male,Number,276,65 and over
Population estimates from 1926,2003,93,2,Female,Number,1085,65 and over
Population estimates from 1926,2003,94,1,Male,Number,215,65 and over
Population estimates from 1926,2003,94,2,Female,Number,713,65 and over
Population estimates from 1926,2003,95,1,Male,Number,198,65 and over
Population estimates from 1926,2003,95,2,Female,Number,533,65 and over
Population estimates from 1926,2003,96,1,Male,Number,96,65 and over
Population estimates from 1926,2003,96,2,Female,Number,436,65 and over
Population estimates from 1926,2003,97,1,Male,Number,43,65 and over
Population estimates from 1926,2003,97,2,Female,Number,268,65 and over
Population estimates from 1926,2003,98,1,Male,Number,43,65 and over
Population estimates from 1926,2003,98,2,Female,Number,183,65 and over
Population estimates from 1926,2003,99,1,Male,Number,82,65 and over
Population estimates from 1926,2003,99,2,Female,Number,273,65 and over
Population estimates from 1926,2004,0,1,Male,Number,31452,0-14 years old
Population estimates from 1926,2004,0,2,Female,Number,30151,0-14 years old
Population estimates from 1926,2004,1,1,Male,Number,31266,0-14 years old
Population estimates from 1926,2004,1,2,Female,Number,29534,0-14 years old
Population estimates from 1926,2004,2,1,Male,Number,27761,0-14 years old
Population estimates from 1926,2004,2,2,Female,Number,26588,0-14 years old
Population estimates from 1926,2004,3,1,Male,Number,28228,0-14 years old
Population estimates from 1926,2004,3,2,Female,Number,26971,0-14 years old
Population estimates from 1926,2004,4,1,Male,Number,29953,0-14 years old
Population estimates from 1926,2004,4,2,Female,Number,28797,0-14 years old
Population estimates from 1926,2004,5,1,Male,Number,29235,0-14 years old
Population estimates from 1926,2004,5,2,Female,Number,27956,0-14 years old
Population estimates from 1926,2004,6,1,Male,Number,29046,0-14 years old
Population estimates from 1926,2004,6,2,Female,Number,27551,0-14 years old
Population estimates from 1926,2004,7,1,Male,Number,28569,0-14 years old
Population estimates from 1926,2004,7,2,Female,Number,26830,0-14 years old
Population estimates from 1926,2004,8,1,Male,Number,27177,0-14 years old
Population estimates from 1926,2004,8,2,Female,Number,25411,0-14 years old
Population estimates from 1926,2004,9,1,Male,Number,27149,0-14 years old
Population estimates from 1926,2004,9,2,Female,Number,26004,0-14 years old
Population estimates from 1926,2004,10,1,Male,Number,26844,0-14 years old
Population estimates from 1926,2004,10,2,Female,Number,25472,0-14 years old
Population estimates from 1926,2004,11,1,Male,Number,27826,0-14 years old
Population estimates from 1926,2004,11,2,Female,Number,26270,0-14 years old
Population estimates from 1926,2004,12,1,Male,Number,28810,0-14 years old
Population estimates from 1926,2004,12,2,Female,Number,27622,0-14 years old
Population estimates from 1926,2004,13,1,Male,Number,30049,0-14 years old
Population estimates from 1926,2004,13,2,Female,Number,28042,0-14 years old
Population estimates from 1926,2004,14,1,Male,Number,29291,0-14 years old
Population estimates from 1926,2004,14,2,Female,Number,27956,0-14 years old
Population estimates from 1926,2004,15,1,Male,Number,29051,15-24 years old
Population estimates from 1926,2004,15,2,Female,Number,27625,15-24 years old
Population estimates from 1926,2004,16,1,Male,Number,30227,15-24 years old
Population estimates from 1926,2004,16,2,Female,Number,29217,15-24 years old
Population estimates from 1926,2004,17,1,Male,Number,31073,15-24 years old
Population estimates from 1926,2004,17,2,Female,Number,29527,15-24 years old
Population estimates from 1926,2004,18,1,Male,Number,30732,15-24 years old
Population estimates from 1926,2004,18,2,Female,Number,29408,15-24 years old
Population estimates from 1926,2004,19,1,Male,Number,31630,15-24 years old
Population estimates from 1926,2004,19,2,Female,Number,29898,15-24 years old
Population estimates from 1926,2004,20,1,Male,Number,31349,15-24 years old
Population estimates from 1926,2004,20,2,Female,Number,31475,15-24 years old
Population estimates from 1926,2004,21,1,Male,Number,32162,15-24 years old
Population estimates from 1926,2004,21,2,Female,Number,32790,15-24 years old
Population estimates from 1926,2004,22,1,Male,Number,34405,15-24 years old
Population estimates from 1926,2004,22,2,Female,Number,34373,15-24 years old
Population estimates from 1926,2004,23,1,Male,Number,35155,15-24 years old
Population estimates from 1926,2004,23,2,Female,Number,35166,15-24 years old
Population estimates from 1926,2004,24,1,Male,Number,35134,15-24 years old
Population estimates from 1926,2004,24,2,Female,Number,34086,15-24 years old
Population estimates from 1926,2004,25,1,Male,Number,33379,25-44 years old
Population estimates from 1926,2004,25,2,Female,Number,33122,25-44 years old
Population estimates from 1926,2004,26,1,Male,Number,32210,25-44 years old
Population estimates from 1926,2004,26,2,Female,Number,33305,25-44 years old
Population estimates from 1926,2004,27,1,Male,Number,31916,25-44 years old
Population estimates from 1926,2004,27,2,Female,Number,33106,25-44 years old
Population estimates from 1926,2004,28,1,Male,Number,32252,25-44 years old
Population estimates from 1926,2004,28,2,Female,Number,31659,25-44 years old
Population estimates from 1926,2004,29,1,Male,Number,33188,25-44 years old
Population estimates from 1926,2004,29,2,Female,Number,31298,25-44 years old
Population estimates from 1926,2004,30,1,Male,Number,32138,25-44 years old
Population estimates from 1926,2004,30,2,Female,Number,32357,25-44 years old
Population estimates from 1926,2004,31,1,Male,Number,32795,25-44 years old
Population estimates from 1926,2004,31,2,Female,Number,33792,25-44 years old
Population estimates from 1926,2004,32,1,Male,Number,32905,25-44 years old
Population estimates from 1926,2004,32,2,Female,Number,32977,25-44 years old
Population estimates from 1926,2004,33,1,Male,Number,31739,25-44 years old
Population estimates from 1926,2004,33,2,Female,Number,32374,25-44 years old
Population estimates from 1926,2004,34,1,Male,Number,32173,25-44 years old
Population estimates from 1926,2004,34,2,Female,Number,31881,25-44 years old
Population estimates from 1926,2004,35,1,Male,Number,31725,25-44 years old
Population estimates from 1926,2004,35,2,Female,Number,30165,25-44 years old
Population estimates from 1926,2004,36,1,Male,Number,30476,25-44 years old
Population estimates from 1926,2004,36,2,Female,Number,30571,25-44 years old
Population estimates from 1926,2004,37,1,Male,Number,29756,25-44 years old
Population estimates from 1926,2004,37,2,Female,Number,29874,25-44 years old
Population estimates from 1926,2004,38,1,Male,Number,30292,25-44 years old
Population estimates from 1926,2004,38,2,Female,Number,29868,25-44 years old
Population estimates from 1926,2004,39,1,Male,Number,30152,25-44 years old
Population estimates from 1926,2004,39,2,Female,Number,30576,25-44 years old
Population estimates from 1926,2004,40,1,Male,Number,29139,25-44 years old
Population estimates from 1926,2004,40,2,Female,Number,29529,25-44 years old
Population estimates from 1926,2004,41,1,Male,Number,29139,25-44 years old
Population estimates from 1926,2004,41,2,Female,Number,29039,25-44 years old
Population estimates from 1926,2004,42,1,Male,Number,28195,25-44 years old
Population estimates from 1926,2004,42,2,Female,Number,28595,25-44 years old
Population estimates from 1926,2004,43,1,Male,Number,28545,25-44 years old
Population estimates from 1926,2004,43,2,Female,Number,28721,25-44 years old
Population estimates from 1926,2004,44,1,Male,Number,27443,25-44 years old
Population estimates from 1926,2004,44,2,Female,Number,27645,25-44 years old
Population estimates from 1926,2004,45,1,Male,Number,26796,45-64 years old
Population estimates from 1926,2004,45,2,Female,Number,26774,45-64 years old
Population estimates from 1926,2004,46,1,Male,Number,26574,45-64 years old
Population estimates from 1926,2004,46,2,Female,Number,26832,45-64 years old
Population estimates from 1926,2004,47,1,Male,Number,26141,45-64 years old
Population estimates from 1926,2004,47,2,Female,Number,25935,45-64 years old
Population estimates from 1926,2004,48,1,Male,Number,24903,45-64 years old
Population estimates from 1926,2004,48,2,Female,Number,24817,45-64 years old
Population estimates from 1926,2004,49,1,Male,Number,25245,45-64 years old
Population estimates from 1926,2004,49,2,Female,Number,25218,45-64 years old
Population estimates from 1926,2004,50,1,Male,Number,24761,45-64 years old
Population estimates from 1926,2004,50,2,Female,Number,24377,45-64 years old
Population estimates from 1926,2004,51,1,Male,Number,25144,45-64 years old
Population estimates from 1926,2004,51,2,Female,Number,24564,45-64 years old
Population estimates from 1926,2004,52,1,Male,Number,23672,45-64 years old
Population estimates from 1926,2004,52,2,Female,Number,23145,45-64 years old
Population estimates from 1926,2004,53,1,Male,Number,23359,45-64 years old
Population estimates from 1926,2004,53,2,Female,Number,22725,45-64 years old
Population estimates from 1926,2004,54,1,Male,Number,23156,45-64 years old
Population estimates from 1926,2004,54,2,Female,Number,23181,45-64 years old
Population estimates from 1926,2004,55,1,Male,Number,22862,45-64 years old
Population estimates from 1926,2004,55,2,Female,Number,22792,45-64 years old
Population estimates from 1926,2004,56,1,Male,Number,22977,45-64 years old
Population estimates from 1926,2004,56,2,Female,Number,22103,45-64 years old
Population estimates from 1926,2004,57,1,Male,Number,22374,45-64 years old
Population estimates from 1926,2004,57,2,Female,Number,21233,45-64 years old
Population estimates from 1926,2004,58,1,Male,Number,21060,45-64 years old
Population estimates from 1926,2004,58,2,Female,Number,20491,45-64 years old
Population estimates from 1926,2004,59,1,Male,Number,19188,45-64 years old
Population estimates from 1926,2004,59,2,Female,Number,18808,45-64 years old
Population estimates from 1926,2004,60,1,Male,Number,18690,45-64 years old
Population estimates from 1926,2004,60,2,Female,Number,18268,45-64 years old
Population estimates from 1926,2004,61,1,Male,Number,17811,45-64 years old
Population estimates from 1926,2004,61,2,Female,Number,17515,45-64 years old
Population estimates from 1926,2004,62,1,Male,Number,16315,45-64 years old
Population estimates from 1926,2004,62,2,Female,Number,15755,45-64 years old
Population estimates from 1926,2004,63,1,Male,Number,15571,45-64 years old
Population estimates from 1926,2004,63,2,Female,Number,15317,45-64 years old
Population estimates from 1926,2004,64,1,Male,Number,15370,45-64 years old
Population estimates from 1926,2004,64,2,Female,Number,15373,45-64 years old
Population estimates from 1926,2004,65,1,Male,Number,14699,65 and over
Population estimates from 1926,2004,65,2,Female,Number,14944,65 and over
Population estimates from 1926,2004,66,1,Male,Number,13604,65 and over
Population estimates from 1926,2004,66,2,Female,Number,14094,65 and over
Population estimates from 1926,2004,67,1,Male,Number,13476,65 and over
Population estimates from 1926,2004,67,2,Female,Number,14280,65 and over
Population estimates from 1926,2004,68,1,Male,Number,12930,65 and over
Population estimates from 1926,2004,68,2,Female,Number,13684,65 and over
Population estimates from 1926,2004,69,1,Male,Number,12571,65 and over
Population estimates from 1926,2004,69,2,Female,Number,13180,65 and over
Population estimates from 1926,2004,70,1,Male,Number,12063,65 and over
Population estimates from 1926,2004,70,2,Female,Number,12833,65 and over
Population estimates from 1926,2004,71,1,Male,Number,11459,65 and over
Population estimates from 1926,2004,71,2,Female,Number,12592,65 and over
Population estimates from 1926,2004,72,1,Male,Number,10852,65 and over
Population estimates from 1926,2004,72,2,Female,Number,12184,65 and over
Population estimates from 1926,2004,73,1,Male,Number,10402,65 and over
Population estimates from 1926,2004,73,2,Female,Number,11867,65 and over
Population estimates from 1926,2004,74,1,Male,Number,9818,65 and over
Population estimates from 1926,2004,74,2,Female,Number,11644,65 and over
Population estimates from 1926,2004,75,1,Male,Number,8732,65 and over
Population estimates from 1926,2004,75,2,Female,Number,11157,65 and over
Population estimates from 1926,2004,76,1,Male,Number,7994,65 and over
Population estimates from 1926,2004,76,2,Female,Number,10688,65 and over
Population estimates from 1926,2004,77,1,Male,Number,7678,65 and over
Population estimates from 1926,2004,77,2,Female,Number,10519,65 and over
Population estimates from 1926,2004,78,1,Male,Number,6917,65 and over
Population estimates from 1926,2004,78,2,Female,Number,10065,65 and over
Population estimates from 1926,2004,79,1,Male,Number,6492,65 and over
Population estimates from 1926,2004,79,2,Female,Number,9756,65 and over
Population estimates from 1926,2004,80,1,Male,Number,5827,65 and over
Population estimates from 1926,2004,80,2,Female,Number,9045,65 and over
Population estimates from 1926,2004,81,1,Male,Number,5543,65 and over
Population estimates from 1926,2004,81,2,Female,Number,8710,65 and over
Population estimates from 1926,2004,82,1,Male,Number,4586,65 and over
Population estimates from 1926,2004,82,2,Female,Number,7586,65 and over
Population estimates from 1926,2004,83,1,Male,Number,4185,65 and over
Population estimates from 1926,2004,83,2,Female,Number,7199,65 and over
Population estimates from 1926,2004,84,1,Male,Number,3775,65 and over
Population estimates from 1926,2004,84,2,Female,Number,6646,65 and over
Population estimates from 1926,2004,85,1,Male,Number,2949,65 and over
Population estimates from 1926,2004,85,2,Female,Number,5563,65 and over
Population estimates from 1926,2004,86,1,Male,Number,2072,65 and over
Population estimates from 1926,2004,86,2,Female,Number,4226,65 and over
Population estimates from 1926,2004,87,1,Male,Number,1812,65 and over
Population estimates from 1926,2004,87,2,Female,Number,4057,65 and over
Population estimates from 1926,2004,88,1,Male,Number,1602,65 and over
Population estimates from 1926,2004,88,2,Female,Number,3440,65 and over
Population estimates from 1926,2004,89,1,Male,Number,1203,65 and over
Population estimates from 1926,2004,89,2,Female,Number,3034,65 and over
Population estimates from 1926,2004,90,1,Male,Number,995,65 and over
Population estimates from 1926,2004,90,2,Female,Number,2548,65 and over
Population estimates from 1926,2004,91,1,Male,Number,889,65 and over
Population estimates from 1926,2004,91,2,Female,Number,2018,65 and over
Population estimates from 1926,2004,92,1,Male,Number,598,65 and over
Population estimates from 1926,2004,92,2,Female,Number,1641,65 and over
Population estimates from 1926,2004,93,1,Male,Number,350,65 and over
Population estimates from 1926,2004,93,2,Female,Number,1212,65 and over
Population estimates from 1926,2004,94,1,Male,Number,226,65 and over
Population estimates from 1926,2004,94,2,Female,Number,796,65 and over
Population estimates from 1926,2004,95,1,Male,Number,174,65 and over
Population estimates from 1926,2004,95,2,Female,Number,533,65 and over
Population estimates from 1926,2004,96,1,Male,Number,137,65 and over
Population estimates from 1926,2004,96,2,Female,Number,376,65 and over
Population estimates from 1926,2004,97,1,Male,Number,69,65 and over
Population estimates from 1926,2004,97,2,Female,Number,296,65 and over
Population estimates from 1926,2004,98,1,Male,Number,58,65 and over
Population estimates from 1926,2004,98,2,Female,Number,212,65 and over
Population estimates from 1926,2004,99,1,Male,Number,77,65 and over
Population estimates from 1926,2004,99,2,Female,Number,252,65 and over
Population estimates from 1926,2005,0,1,Male,Number,31490,0-14 years old
Population estimates from 1926,2005,0,2,Female,Number,29563,0-14 years old
Population estimates from 1926,2005,1,1,Male,Number,31492,0-14 years old
Population estimates from 1926,2005,1,2,Female,Number,29856,0-14 years old
Population estimates from 1926,2005,2,1,Male,Number,30886,0-14 years old
Population estimates from 1926,2005,2,2,Female,Number,29053,0-14 years old
Population estimates from 1926,2005,3,1,Male,Number,28651,0-14 years old
Population estimates from 1926,2005,3,2,Female,Number,27987,0-14 years old
Population estimates from 1926,2005,4,1,Male,Number,29167,0-14 years old
Population estimates from 1926,2005,4,2,Female,Number,28385,0-14 years old
Population estimates from 1926,2005,5,1,Male,Number,29407,0-14 years old
Population estimates from 1926,2005,5,2,Female,Number,28796,0-14 years old
Population estimates from 1926,2005,6,1,Male,Number,29607,0-14 years old
Population estimates from 1926,2005,6,2,Female,Number,27546,0-14 years old
Population estimates from 1926,2005,7,1,Male,Number,29312,0-14 years old
Population estimates from 1926,2005,7,2,Female,Number,27587,0-14 years old
Population estimates from 1926,2005,8,1,Male,Number,28558,0-14 years old
Population estimates from 1926,2005,8,2,Female,Number,26310,0-14 years old
Population estimates from 1926,2005,9,1,Male,Number,27464,0-14 years old
Population estimates from 1926,2005,9,2,Female,Number,26026,0-14 years old
Population estimates from 1926,2005,10,1,Male,Number,27637,0-14 years old
Population estimates from 1926,2005,10,2,Female,Number,25792,0-14 years old
Population estimates from 1926,2005,11,1,Male,Number,26862,0-14 years old
Population estimates from 1926,2005,11,2,Female,Number,25765,0-14 years old
Population estimates from 1926,2005,12,1,Male,Number,28192,0-14 years old
Population estimates from 1926,2005,12,2,Female,Number,26550,0-14 years old
Population estimates from 1926,2005,13,1,Male,Number,28727,0-14 years old
Population estimates from 1926,2005,13,2,Female,Number,27649,0-14 years old
Population estimates from 1926,2005,14,1,Male,Number,30549,0-14 years old
Population estimates from 1926,2005,14,2,Female,Number,28615,0-14 years old
Population estimates from 1926,2005,15,1,Male,Number,28897,15-24 years old
Population estimates from 1926,2005,15,2,Female,Number,27661,15-24 years old
Population estimates from 1926,2005,16,1,Male,Number,29022,15-24 years old
Population estimates from 1926,2005,16,2,Female,Number,27660,15-24 years old
Population estimates from 1926,2005,17,1,Male,Number,30059,15-24 years old
Population estimates from 1926,2005,17,2,Female,Number,29213,15-24 years old
Population estimates from 1926,2005,18,1,Male,Number,30715,15-24 years old
Population estimates from 1926,2005,18,2,Female,Number,29184,15-24 years old
Population estimates from 1926,2005,19,1,Male,Number,31116,15-24 years old
Population estimates from 1926,2005,19,2,Female,Number,29236,15-24 years old
Population estimates from 1926,2005,20,1,Male,Number,32231,15-24 years old
Population estimates from 1926,2005,20,2,Female,Number,31870,15-24 years old
Population estimates from 1926,2005,21,1,Male,Number,31524,15-24 years old
Population estimates from 1926,2005,21,2,Female,Number,31894,15-24 years old
Population estimates from 1926,2005,22,1,Male,Number,34270,15-24 years old
Population estimates from 1926,2005,22,2,Female,Number,34426,15-24 years old
Population estimates from 1926,2005,23,1,Male,Number,34480,15-24 years old
Population estimates from 1926,2005,23,2,Female,Number,34791,15-24 years old
Population estimates from 1926,2005,24,1,Male,Number,37476,15-24 years old
Population estimates from 1926,2005,24,2,Female,Number,36519,15-24 years old
Population estimates from 1926,2005,25,1,Male,Number,36735,25-44 years old
Population estimates from 1926,2005,25,2,Female,Number,35462,25-44 years old
Population estimates from 1926,2005,26,1,Male,Number,35330,25-44 years old
Population estimates from 1926,2005,26,2,Female,Number,35548,25-44 years old
Population estimates from 1926,2005,27,1,Male,Number,33461,25-44 years old
Population estimates from 1926,2005,27,2,Female,Number,34211,25-44 years old
Population estimates from 1926,2005,28,1,Male,Number,34538,25-44 years old
Population estimates from 1926,2005,28,2,Female,Number,33878,25-44 years old
Population estimates from 1926,2005,29,1,Male,Number,34077,25-44 years old
Population estimates from 1926,2005,29,2,Female,Number,31963,25-44 years old
Population estimates from 1926,2005,30,1,Male,Number,34749,25-44 years old
Population estimates from 1926,2005,30,2,Female,Number,32583,25-44 years old
